scenario,Category,Baseline
BAU,BAU,-
BAU_V1,BAU,-
BAU_V2,BAU,-
BAU_V3,BAU,-
BAU_V4,BAU,-
BAU_v4,BAU,-
BAU_v6,BAU,-
BAU_V5,BAU,-
BAU_NOPOLICY_world,BAU,-
BAU_NOPOLICY_can,BAU,-
BaU,BAU,-
CurPol,CurPol,BAU
CurPol_V1,CurPol,BAU
CurPol_V2,CurPol,BAU
CurPol_V3,CurPol,BAU
CurPol_V4,CurPol,BAU
CurPol_v4,CurPol,BAU
CurPol_v6,CurPol,BAU
CurPol_V5,CurPol,BAU
Current_Policy_can,CurPol,BAU_NOPOLICY_can
NDCMCS,NDCMCS,BAU
NDCMCS_V1,NDCMCS,BAU
NDCMCS_V2,NDCMCS,BAU
NDCMCS_V3,NDCMCS,BAU
NDCMCS_V4,NDCMCS,BAU
NDC_MCS_world,NDCMCS,BAU_NOPOLICY_world
NDC_MCS_can,NDCMCS,BAU_NOPOLICY_can
NDC,NDCMCS,-
NDCplus_V4,NDCplus,BAU
NDCplus_v4,NDCplus,BAU
NDCPlus_V4,NDCplus,BAU
NDCPlus_v4,NDCplus,BAU
NDCplus,NDCplus,BAU
NDCplus_v6,NDCplus,BAU
NDCplus_V5,NDCplus,BAU
NDC_2050convergence_V4,NDCplus-conv,BAU
NDC_2050convergence_v4,NDCplus-conv,BAU
NDC2050convergence,NDCplus-conv,BAU
GPP,GPP,BAU
GPP_V1,GPP,BAU
GPP_V2,GPP,BAU
GPP_V3,GPP,BAU
GPP_V4,GPP,BAU
GPP_v4,GPP,BAU
GPP_v6,GPP,BAU
GPP_V5,GPP,BAU
GPP_notax_V4,GPP_notax,BAU
GPPnotax,GPP_notax,BAU
NDC_MCS_GP_world,GPP,BAU_NOPOLICY_world
NDC_MCS_GP_can,GPP,BAU_NOPOLICY_can
Bridge,Bridge,BAU
Bridge_V1,Bridge,BAU
Bridge_V2,Bridge,BAU
Bridge_V3,Bridge,BAU
Bridge_V4,Bridge,BAU
Bridge_v4,Bridge,BAU
Bridge_v6,Bridge,BAU
Bridge_V5,Bridge,BAU
Bridge_notax_V4,Bridge_notax,BAU
Bridgenotax,Bridge_notax,BAU
NDC_MCS_GP_BG_world,Bridge,BAU_NOPOLICY_world
NDC_MCS_GP_BG_can,Bridge,BAU_NOPOLICY_can
SR15-PEP_2C_full_goodpractice,Bridge,BAU
2Deg2020,2Deg2020,BAU
2Deg2020_V1,2Deg2020,BAU
2Deg2020_V2,2Deg2020,BAU
2DEG2020_V2,2Deg2020,BAU
2Deg2020_V3,2Deg2020,BAU
2Deg2020_V4,2Deg2020,BAU
2deg2020_v4,2Deg2020,BAU
2Deg2020_v4,2Deg2020,BAU
2Deg2020_v6,2Deg2020,BAU
2Deg2020_V5,2Deg2020,BAU
2degree2020,2Deg2020,BAU
2DEG2020_V4,2Deg2020,BAU
SR15-PEP_2C_full_netzero,2Deg2020,BAU
decarb,2Deg2020,BAU
Bridge-2020-2C,2Deg2020,BAU
2DS,2Deg2020,REF
2Deg2030,2Deg2030,BAU
2Deg2030_V1,2Deg2030,BAU
2Deg2030_V2,2Deg2030,BAU
2Deg2030_V3,2Deg2030,BAU
2Deg2030_V4,2Deg2030,BAU
2deg2030_v4,2Deg2030,BAU
2Deg2030_v4,2Deg2030,BAU
2Deg2030_v6,2Deg2030,BAU
2Deg2030_v5,2Deg2030,BAU
NDC_MCS_GP_BG_2D_world,2Deg2030,BAU_NOPOLICY_world
NDC_MCS_GP_BG_2D_can,2Deg2030,BAU_NOPOLICY_can
SR15-PEP_2C_full_NDC,2Deg2030,BAU
1.5degree2020,1p5Deg2020,BAU
1.5degree,1p5Deg2030,BAU
NoPOL,BAU,-
NPi,CurPol,NoPOL
INDC,NDCplus,NoPOL
NPi2020_low,2Deg2020,NoPOL
INDC2030_low,2Deg2030,NoPOL